# Weight Table Information
#
#    Name:                        Supine
#    Time Stamp:                  Thu Sep  6 14:12:52 2018
#    Table Version:               2 (Variable Size)
#    Entry Size:                  0 bytes
#    Total Entries:               248
#    Number of Analog References: 3
#    Number of DSP Reference:     23
#    Description:                 
#
#               Analog Ref.            DSP Ref.                                                                                                                                                                                                                            
#
Entry  Channel  MCxA    MCyA    MCzA      MLzA       MLyA       MLzaA      MLyaA      MLxA       MLxaA      MRzA       MRxA       MRzaA      MRxaA      MRyA       MCzA       MRyaA      MCzaA      MCyA       GzxA       MCyaA      MCxA       MCxaA      GyyA       GzyA       GxxA       GyxA       
0      A22      241     526     896       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000  -0.175991   0.000000  -0.052424  -0.238649   0.497842   0.000732  -0.229802   0.040339   0.194250   0.210504   0.394494   0.353526 
1      A2       -320    -2      -1014     0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.439464   0.000000   0.050344   0.403763  -0.470866  -0.012670   0.553857  -0.040027  -0.074943   0.094000  -0.203369  -0.375119 
2      A104     1082    183     -2        0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000  -0.124831   0.000000  -0.115280  -0.101560   0.870980  -0.024510  -0.191379   0.072496   0.107688   0.039107   0.960453  -0.100172 
3      A241     925     -706    -334      0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000  -0.250732   0.000000  -0.049113  -0.283609   1.205080   0.001646  -0.243962   0.117731   0.236743  -0.683768   1.218861   0.288728 
4      A138     1094    -331    -256      0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.043493   0.000000  -0.075115  -0.075357   1.028313  -0.008416   0.036592   0.071765   0.146312  -0.259580   0.811472  -0.002066 
5      A214     -148    1274    38        0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.209943   0.000000  -0.042248   0.176912  -0.360206   0.012310   0.346762  -0.073909  -0.192811   0.907389   0.154233  -0.304976 
6      A71      -669    -893    -426      0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.389544   0.000000   0.049441  -0.366988  -0.616265  -0.004755   0.896133  -0.072994   0.203024  -0.002328  -0.579717  -0.110885 
7      A26      610     524     795       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.146319   0.000000  -0.047121   0.022262   0.494600   0.039180   0.102362  -0.002872  -0.183862   0.292365   0.172428  -0.012470 
8      A93      427     -967    -552      0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000  -0.141145   0.000000   0.026926  -0.136104  -0.006086  -0.048862  -0.085977   0.055610   0.203184  -0.417847   0.404006   0.251366 
9      A39      248     -569    -929      0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.308681   0.000000   0.055406   0.160766  -0.532014  -0.023037   0.365439  -0.013867  -0.049340  -0.157457   0.151513  -0.244723 
10     A125     563     -1054   -365      0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000  -0.015695   0.000000   0.008776  -0.034019   0.298334  -0.053507  -0.037376   0.079130   0.244520  -0.541490   0.580247   0.459179 
11     A20      152     -334    -1030     0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.653313   0.000000   0.073540   0.534111  -0.666694  -0.002183   0.564821  -0.045601  -0.215336   0.047604  -0.095621  -0.489756 
12     A65      -146    963     694       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.187844   0.000000  -0.042175   0.099197   0.246211   0.047759   0.208902  -0.035983  -0.088363   0.586813  -0.129180  -0.234869 
13     A9       288     282     993       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000  -0.196612   0.000000  -0.035011  -0.054562   0.403315   0.002455  -0.192292   0.025112   0.114175   0.086124   0.209449   0.416384 
